ID,Name,Task,Genes
GO:0000041,transition metal ion transport,GO,"[""10057"",""10058"",""10063"",""10463"",""1213"",""1317"",""1318"",""148867"",""169026"",""1785"",""22"",""22853"",""23516"",""25800"",""27173"",""28982"",""29985"",""29986"",""30061"",""387849"",""392"",""4241"",""475"",""4891"",""51312"",""538"",""540"",""55240"",""55334"",""55532"",""55630"",""55652"",""55676"",""55858"",""57181"",""57192"",""64116"",""64924"",""7036"",""7037"",""7226"",""7779"",""7780"",""7781"",""7782"",""7922"",""79901"",""81615"",""8943"",""91252"",""9843""]"
GO:0001666,response to hypoxia,GO,"[""100"",""101"",""10370"",""10449"",""10525"",""112398"",""1137"",""1139"",""1141"",""1263"",""126374"",""132864"",""1387"",""139341"",""1803"",""2033"",""2034"",""205"",""212"",""2168"",""22933"",""23411"",""2627"",""26355"",""26608"",""283"",""28984"",""28996"",""29979"",""29997"",""3091"",""3163"",""358"",""360"",""3708"",""3709"",""3778"",""378938"",""405"",""406932"",""406952"",""406982"",""406996"",""407008"",""407040"",""4088"",""4089"",""4504"",""4609"",""4780"",""4824"",""4985"",""5034"",""50809"",""5163"",""5165"",""5230"",""5300"",""5371"",""54541"",""54583"",""54890"",""56776"",""57103"",""5740"",""58157"",""5978"",""6095"",""6261"",""64428"",""64506"",""65018"",""664"",""665"",""677"",""6839"",""6868"",""7012"",""7015"",""7040"",""7042"",""7043"",""7054"",""7184"",""7291"",""7351"",""7391"",""7422"",""7428"",""79625"",""79723"",""84069"",""84890"",""84962"",""863"",""8994"",""9520"",""9777"",""9915""]"
GO:0001906,cell killing,GO,"[""100507436"",""10578"",""11151"",""1130"",""114771"",""117159"",""117285"",""135250"",""140823"",""140880"",""1667"",""1668"",""1670"",""1673"",""1991"",""2147"",""2209"",""2214"",""22914"",""23207"",""23705"",""245939"",""2597"",""2633"",""3002"",""3078"",""3080"",""3105"",""3151"",""3273"",""3500"",""353142"",""353143"",""353144"",""3799"",""3811"",""3853"",""387836"",""400830"",""4057"",""4069"",""414325"",""4589"",""5196"",""55207"",""55894"",""566"",""57115"",""5873"",""6156"",""6223"",""6283"",""6357"",""6406"",""6813"",""6844"",""6845"",""6955"",""6957"",""728358"",""735"",""79465"",""80328"",""80329"",""81494"",""820"",""84659"",""85236"",""8542"",""8970"",""8993"",""914""]"
GO:0001910,regulation of leukocyte mediated cytotoxicity,GO,"[""100507436"",""10125"",""10666"",""10859"",""11126"",""114836"",""135250"",""146850"",""164"",""177"",""2150"",""2213"",""22914"",""23705"",""259197"",""3071"",""3105"",""3106"",""3122"",""3123"",""3133"",""3134"",""3135"",""3140"",""3383"",""3592"",""3593"",""3805"",""3821"",""3822"",""3824"",""383"",""387837"",""3916"",""3952"",""3965"",""409"",""4843"",""5272"",""5817"",""5819"",""59067"",""6318"",""634"",""6375"",""7040"",""8417"",""9390"",""9437""]"
GO:0001912,positive regulation of leukocyte mediated cytotoxicity,GO,"[""10125"",""10666"",""11126"",""114836"",""135250"",""164"",""2150"",""22914"",""23705"",""259197"",""3105"",""3106"",""3122"",""3123"",""3133"",""3134"",""3140"",""3592"",""3593"",""3822"",""3824"",""383"",""3916"",""4843"",""5817"",""5819"",""59067"",""6375"",""8417"",""9390""]"
GO:0001914,regulation of T cell mediated cytotoxicity,GO,"[""10859"",""177"",""2213"",""3071"",""3105"",""3106"",""3122"",""3123"",""3133"",""3134"",""3135"",""3140"",""3592"",""3821"",""3824"",""5817"",""5819"",""634"",""6375"",""8417"",""9390""]"
GO:0001916,positive regulation of T cell mediated cytotoxicity,GO,"[""3105"",""3106"",""3122"",""3123"",""3133"",""3134"",""3140"",""3592"",""5817"",""5819"",""6375"",""8417"",""9390""]"
GO:0002237,response to molecule of bacterial origin,GO,"[""10062"",""10221"",""10288"",""10333"",""114548"",""114609"",""114769"",""117854"",""1373"",""1432"",""149233"",""1511"",""153090"",""1594"",""196"",""22843"",""23118"",""23641"",""23643"",""23729"",""26191"",""26273"",""2643"",""27063"",""27086"",""29108"",""2920"",""3055"",""342979"",""345611"",""353376"",""3553"",""3569"",""3576"",""3586"",""3592"",""3627"",""3654"",""3663"",""387"",""389643"",""3929"",""3965"",""406915"",""406932"",""406979"",""406980"",""406991"",""407008"",""4091"",""4314"",""4318"",""440068"",""4790"",""4795"",""5054"",""51510"",""51571"",""5336"",""54106"",""55593"",""55765"",""558"",""55829"",""55914"",""5599"",""57162"",""58509"",""5970"",""5976"",""6372"",""6401"",""6403"",""64127"",""6622"",""6868"",""7096"",""7097"",""7099"",""7128"",""7133"",""7189"",""721"",""730249"",""7431"",""7494"",""7538"",""7855"",""79931"",""80149"",""834"",""840"",""8754"",""8915"",""90933"",""92140"",""923"",""929"",""9373"",""948"",""949"",""9572""]"
GO:0002478,antigen processing and presentation of exogenous peptide antigen,GO,"[""10437"",""1509"",""1510"",""1514"",""1515"",""1520"",""1785"",""200576"",""3105"",""3109"",""3113"",""3115"",""3119"",""3122"",""3123"",""3125"",""3133"",""3134"",""3551"",""4012"",""50856"",""5641"",""8722""]"
GO:0002483,antigen processing and presentation of endogenous peptide antigen,GO,"[""3105"",""3106"",""3107"",""3122"",""3123"",""3133"",""3134"",""3135"",""3416"",""51752"",""567"",""64167"",""6890"",""6891""]"
