Rank,Task,ID,Name,Similarity,z-score,p-adjusted
1,Biological Process,GO:0032944,regulation of mononuclear cell proliferation,0.2784073197604371,4.174921001624169,0.1311295608791311
2,Biological Process,GO:0070663,regulation of leukocyte proliferation,0.27775698373067104,4.163734813521771,0.13772553048913727
3,Biological Process,GO:0050670,regulation of lymphocyte proliferation,0.2763673058499867,4.139831481300319,0.15289210423983327
4,Biological Process,GO:0042129,regulation of T cell proliferation,0.27065730935174204,4.041615955833614,0.23351704514452906
5,Biological Process,GO:0043903,regulation of biological process involved in symbiotic interaction,0.2641886467010566,3.930350896126621,0.37313189621665577
6,Biological Process,GO:0070665,positive regulation of leukocyte proliferation,0.2635925149661513,3.920097055934408,0.3893700710607189
7,Biological Process,GO:0032946,positive regulation of mononuclear cell proliferation,0.25945826077955036,3.8489852877442243,0.5217571640723944
8,Biological Process,GO:0052372,modulation by symbiont of entry into host,0.25814260203749284,3.8263551311888278,0.5721103116877412
9,Biological Process,GO:0050671,positive regulation of lymphocyte proliferation,0.2577104285573927,3.818921475939852,0.5896262006003676
10,Biological Process,GO:0046598,positive regulation of viral entry into host cell,0.25662011702296117,3.80016743286653,0.6360881677070078
10,Biological Process,GO:0075294,positive regulation by symbiont of entry into host,0.25662011702296117,3.80016743286653,0.6360881677070078
12,Biological Process,GO:0042102,positive regulation of T cell proliferation,0.24925244872086916,3.673438911408277,1
13,Biological Process,GO:0001906,cell killing,0.2414042195680398,3.5384444415403533,1
14,Biological Process,GO:0050865,regulation of cell activation,0.23899568677025396,3.497016164936147,1
15,Biological Process,GO:0032729,positive regulation of type II interferon production,0.23841356712402506,3.487003341468315,1
16,Phenotype,HP:0100758,Gangrene,0.2379640285262381,3.479270995290382,1
17,Biological Process,GO:0032649,regulation of type II interferon production,0.23710640487949508,3.4645193300059236,1
18,Biological Process,GO:0002694,regulation of leukocyte activation,0.23460235144989716,3.4214480385506194,1
19,Biological Process,GO:0032673,regulation of interleukin-4 production,0.2326860772886281,3.38848691961733,1
20,Biological Process,GO:0032740,positive regulation of interleukin-17 production,0.23252520583839797,3.3857198296511974,1
21,Biological Process,GO:0006959,humoral immune response,0.22620240837405325,3.2769637427479807,1
22,Biological Process,GO:0051249,regulation of lymphocyte activation,0.2262010025021589,3.276939560868555,1
23,Phenotype,HP:0002103,Abnormal pleura morphology,0.22543548047617157,3.263772101297994,1
24,Biological Process,GO:0046596,regulation of viral entry into host cell,0.22405511011050416,3.2400288641796577,1
25,Biological Process,GO:0050863,regulation of T cell activation,0.2232920905580945,3.226904448726107,1
26,Biological Process,GO:0141060,disruption of anatomical structure in another organism,0.22260116717324696,3.2150201326287333,1
27,Biological Process,GO:0071634,regulation of transforming growth factor beta production,0.22117283387552522,3.1904519029598615,1
28,Biological Process,GO:0046641,positive regulation of alpha-beta T cell proliferation,0.22105867975633087,3.1884883804245483,1
29,Biological Process,GO:0050870,positive regulation of T cell activation,0.2191743554466692,3.1560768190024002,1
30,Biological Process,GO:0032660,regulation of interleukin-17 production,0.2190054040779552,3.153170749364413,1
31,Biological Process,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,0.21859229001364822,3.1460649280357886,1
32,Biological Process,GO:0009617,response to bacterium,0.2181908931085651,3.13916064920382,1
33,Biological Process,GO:1903039,positive regulation of leukocyte cell-cell adhesion,0.21788439386496927,3.133888669742157,1
34,Biological Process,GO:0019730,antimicrobial humoral response,0.2172180529626494,3.12242718778128,1
35,Biological Process,GO:0141061,disruption of cell in another organism,0.2171441242998935,3.1211555683570205,1
35,Biological Process,GO:0031640,killing of cells of another organism,0.2171441242998935,3.1211555683570205,1
37,Biological Process,GO:0051251,positive regulation of lymphocyte activation,0.21689124107596303,3.1168058181027636,1
38,Phenotype,HP:0004420,Arterial thrombosis,0.21591085341672767,3.099942534711526,1
39,Phenotype,HP:0004936,Venous thrombosis,0.2124180846964222,3.039864719374174,1
40,Biological Process,GO:0045953,negative regulation of natural killer cell mediated cytotoxicity,0.21151401633292544,3.0243141757957406,1
40,Biological Process,GO:0002716,negative regulation of natural killer cell mediated immunity,0.21151401633292544,3.0243141757957406,1
42,Phenotype,HP:0002105,Hemoptysis,0.21074815260316437,3.011140838705692,1
43,Biological Process,GO:0002501,peptide antigen assembly with MHC protein complex,0.21059914101998967,3.008577745900534,1
43,Biological Process,GO:0002396,MHC protein complex assembly,0.21059914101998967,3.008577745900534,1
45,Biological Process,GO:0043123,positive regulation of canonical NF-kappaB signal transduction,0.21037596931055802,3.0047390523535467,1
46,Biological Process,GO:0046640,regulation of alpha-beta T cell proliferation,0.20991858629374716,2.996871777242356,1
47,Biological Process,GO:1902230,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage,0.20875203682473964,2.976806393819319,1
48,Biological Process,GO:0022409,positive regulation of cell-cell adhesion,0.208529187246574,2.972973241132395,1
49,Biological Process,GO:0043122,regulation of canonical NF-kappaB signal transduction,0.20823943137255163,2.9679892581417016,1
50,Biological Process,GO:0002761,regulation of myeloid leukocyte differentiation,0.20768480510459575,2.958449338045136,1
51,Biological Process,GO:0046006,regulation of activated T cell proliferation,0.20766741871520367,2.9581502812294906,1
52,Biological Process,GO:0030449,regulation of complement activation,0.20746487766755872,2.9546664480206366,1
53,Phenotype,HP:0005244,Gastrointestinal infarctions,0.20660172343076288,2.939819653114234,1
54,Phenotype,HP:0200040,Epidermoid cyst,0.20642635530308107,2.9368032111924784,1
55,Biological Process,GO:0002250,adaptive immune response,0.20620267937017545,2.9329558446851025,1
56,Biological Process,GO:0046635,positive regulation of alpha-beta T cell activation,0.2048536971518531,2.9097525034118634,1
57,Biological Process,GO:0010720,positive regulation of cell development,0.20465763176492913,2.90638005563392,1
58,Biological Process,GO:0002696,positive regulation of leukocyte activation,0.20429917611623816,2.9002143933776448,1
59,Phenotype,HP:0002102,Pleuritis,0.20228240854381474,2.865524724665822,1
60,Biological Process,GO:0030225,macrophage differentiation,0.2022690336583035,2.8652946682360247,1
61,Biological Process,GO:0002763,positive regulation of myeloid leukocyte differentiation,0.20182602288653495,2.8576746047648762,1
62,Biological Process,GO:0042742,defense response to bacterium,0.20003133903996106,2.8268049155992094,1
63,Biological Process,GO:0002711,positive regulation of T cell mediated immunity,0.1995843915494131,2.8191171380929205,1
64,Phenotype,HP:0002239,Gastrointestinal hemorrhage,0.19917002562351704,2.811989783958835,1
65,Phenotype,HP:0100820,Glomerulopathy,0.1984918938991621,2.8003254924546916,1
66,Biological Process,GO:0032655,regulation of interleukin-12 production,0.19827463058039563,2.7965884269374275,1
67,Biological Process,GO:0050866,negative regulation of cell activation,0.197972597305901,2.7913932649487925,1
68,Biological Process,GO:0098543,detection of other organism,0.19775068708915577,2.787576269868189,1
69,Biological Process,GO:0016045,detection of bacterium,0.19749831250453198,2.7832352685294164,1
70,Phenotype,HP:0001977,Abnormal thrombosis,0.19671482770127957,2.769758837909841,1
71,Phenotype,HP:0045073,Serositis,0.19656396640973461,2.7671639289591563,1
72,Phenotype,HP:0001701,Pericarditis,0.19646968613943228,2.7655422491049335,1
73,Phenotype,HP:0011506,Choroidal neovascularization,0.19572947929987794,2.752810226638155,1
74,Biological Process,GO:1903708,positive regulation of hemopoiesis,0.19554459205860375,2.749630049984909,1
74,Biological Process,GO:1902107,positive regulation of leukocyte differentiation,0.19554459205860375,2.749630049984909,1
76,Biological Process,GO:0070664,negative regulation of leukocyte proliferation,0.1954395002857724,2.7478224054979057,1
77,Biological Process,GO:0045589,regulation of regulatory T cell differentiation,0.1946481392139887,2.7342104981135456,1
78,Biological Process,GO:0046634,regulation of alpha-beta T cell activation,0.19447900406466756,2.7313012673337065,1
79,Biological Process,GO:0045824,negative regulation of innate immune response,0.19421783862833442,2.7268090578251565,1
80,Biological Process,GO:1902229,regulation of intrinsic apoptotic signaling pathway in response to DNA damage,0.19412908794324157,2.7252824903089414,1
81,Biological Process,GO:0032945,negative regulation of mononuclear cell proliferation,0.1937614413916292,2.718958738750822,1
82,Biological Process,GO:0002834,regulation of response to tumor cell,0.19327588120971928,2.7106067987055606,1
83,Biological Process,GO:0050727,regulation of inflammatory response,0.19276799451352744,2.701870828594307,1
84,Biological Process,GO:0071345,cellular response to cytokine stimulus,0.19240930635450781,2.695701167014369,1
85,Biological Process,GO:0002837,regulation of immune response to tumor cell,0.19226555618067964,2.69322857375397,1
86,Biological Process,GO:2000514,"regulation of CD4-positive, alpha-beta T cell activation",0.19129578921136314,2.6765479728987938,1
87,Biological Process,GO:0050867,positive regulation of cell activation,0.1908826178403955,2.6694411658596198,1
88,Biological Process,GO:0002832,negative regulation of response to biotic stimulus,0.190810942720947,2.668208308795401,1
89,Biological Process,GO:0050672,negative regulation of lymphocyte proliferation,0.19078619518905082,2.667782635706121,1
90,Biological Process,GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,0.1905562813918924,2.6638279740164155,1
91,Biological Process,GO:0002698,negative regulation of immune effector process,0.19045939687993318,2.662161499570313,1
