Rank,Task,ID,Name,Similarity,z-score,p-adjusted
1,Phenotype,HP:0002331,Recurrent paroxysmal headache,0.24879407369561202,4.096033178260126,0.18488544908686091
2,Phenotype,HP:0002666,Pheochromocytoma,0.2359101488329316,3.844884773040763,0.5305594264369107
3,Phenotype,HP:0003574,Positive regitine blocking test,0.2336713709381063,3.801243917950526,0.633330566472021
3,Phenotype,HP:0003639,Elevated urinary epinephrine level,0.2336713709381063,3.801243917950526,0.633330566472021
3,Phenotype,HP:0006737,Extraadrenal pheochromocytoma,0.2336713709381063,3.801243917950526,0.633330566472021
3,Phenotype,HP:0002640,Hypertension associated with pheochromocytoma,0.2336713709381063,3.801243917950526,0.633330566472021
3,Phenotype,HP:0008629,Pulsatile tinnitus,0.2336713709381063,3.801243917950526,0.633330566472021
3,Phenotype,HP:0000740,Episodic paroxysmal anxiety,0.2336713709381063,3.801243917950526,0.633330566472021
3,Phenotype,HP:0002864,Paraganglioma of head and neck,0.2336713709381063,3.801243917950526,0.633330566472021
10,Phenotype,HP:0011979,Elevated urinary dopamine level,0.2321154261355991,3.770913637393632,0.7155015728246881
11,Biological Process,GO:0032760,positive regulation of tumor necrosis factor production,0.23007418130432689,3.7311233258619927,0.8385720048209262
12,Biological Process,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,0.22869812596154793,3.704299659276233,0.9324804868232954
13,Phenotype,HP:0001095,Hypertensive retinopathy,0.22789848553788872,3.6887121407761314,0.9914996349827999
14,Phenotype,HP:0006748,Adrenal pheochromocytoma,0.22473505008283823,3.627046788174484,1
14,Phenotype,HP:0100642,Neoplasm of the adrenal medulla,0.22473505008283823,3.627046788174484,1
16,Phenotype,HP:0011281,Abnormality of urine catecholamine level,0.22273209702030994,3.588002904207082,1
16,Phenotype,HP:0011976,Elevated urinary catecholamine level,0.22273209702030994,3.588002904207082,1
18,Biological Process,GO:0043535,regulation of blood vessel endothelial cell migration,0.2226180110793452,3.5857790087376014,1
19,Phenotype,HP:0003345,Elevated urinary norepinephrine level,0.22243520747991818,3.5822155889758607,1
20,Biological Process,GO:0070374,positive regulation of ERK1 and ERK2 cascade,0.22217185526451233,3.5770820221773034,1
21,Phenotype,HP:0010532,Paroxysmal vertigo,0.21715836949629974,3.479353343323877,1
22,Phenotype,HP:0034902,Abnormal circulating calcitonin concentration,0.21451706131471093,3.427865901060039,1
22,Phenotype,HP:0003528,Elevated circulating calcitonin concentration,0.21451706131471093,3.427865901060039,1
24,Phenotype,HP:0100007,Neoplasm of the peripheral nervous system,0.21185808096761205,3.3760339724512454,1
25,Phenotype,HP:0012222,Arachnoid hemangiomatosis,0.20928724183673542,3.3259201946485333,1
26,Phenotype,HP:0002668,Paraganglioma,0.20879703773763492,3.3163645678474416,1
27,Phenotype,HP:0009594,Retinal hamartoma,0.20739922749461392,3.2891168295164857,1
28,Biological Process,GO:0001938,positive regulation of endothelial cell proliferation,0.20509182824758687,3.2441383274473075,1
29,Phenotype,HP:0030670,Hamartoma of the orbital region,0.20338194747813543,3.2108073484995114,1
29,Phenotype,HP:0010568,Hamartoma of the eye,0.20338194747813543,3.2108073484995114,1
31,Biological Process,GO:0001911,negative regulation of leukocyte mediated cytotoxicity,0.20163452917121283,3.176744644338147,1
32,Phenotype,HP:0009711,Retinal capillary hemangioma,0.2012475797423312,3.169201777315873,1
33,Phenotype,HP:0100634,Neuroendocrine neoplasm,0.20087792441456043,3.1619960269688354,1
34,Phenotype,HP:0001482,Subcutaneous nodule,0.1988650479129831,3.1227587038190396,1
35,Phenotype,HP:0032148,Episodic pain,0.1986043978793921,3.1176778110822023,1
36,Biological Process,GO:0001936,regulation of endothelial cell proliferation,0.1977379924308751,3.1007888312885754,1
37,Biological Process,GO:0002716,negative regulation of natural killer cell mediated immunity,0.19765368628907554,3.099145438200768,1
37,Biological Process,GO:0045953,negative regulation of natural killer cell mediated cytotoxicity,0.19765368628907554,3.099145438200768,1
39,Phenotype,HP:0012032,Lipoma,0.19729333572801488,3.0921210671574046,1
40,Phenotype,HP:0100631,Neoplasm of the adrenal gland,0.19419720507371208,3.0317676977869192,1
41,Biological Process,GO:0050678,regulation of epithelial cell proliferation,0.1935495172295194,3.0191422151888223,1
42,Phenotype,HP:0002574,Episodic abdominal pain,0.19301704524285324,3.0087626537042196,1
43,Phenotype,HP:0010797,Hemangioblastoma,0.19184825994439325,2.985979335198356,1
44,Biological Process,GO:0070372,regulation of ERK1 and ERK2 cascade,0.19176971709334967,2.9844482868577904,1
45,Phenotype,HP:0200036,Skin nodule,0.19140800822213322,2.977397438057605,1
46,Biological Process,GO:0001525,angiogenesis,0.19004332790877254,2.9507955067371605,1
47,Biological Process,GO:0010632,regulation of epithelial cell migration,0.1861966475335305,2.8758115517756537,1
48,Phenotype,HP:0000912,Sprengel anomaly,0.18588581925597092,2.8697525265144703,1
49,Biological Process,GO:1904951,positive regulation of establishment of protein localization,0.18568676634450476,2.865872356317747,1
50,Phenotype,HP:0003453,Antineutrophil antibody positivity,0.18370578178004093,2.8272567077920105,1
51,Phenotype,HP:0011703,Sinus tachycardia,0.1836109729998131,2.8254085850957984,1
52,Biological Process,GO:0050679,positive regulation of epithelial cell proliferation,0.18339391281232575,2.8211773961914006,1
53,Biological Process,GO:0010594,regulation of endothelial cell migration,0.18336505913164602,2.8206149467852875,1
54,Phenotype,HP:0100012,Neoplasm of the eye,0.1828606339399539,2.810782105954858,1
55,Biological Process,GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,0.18282445027480587,2.8100767719907305,1
56,Biological Process,GO:0031342,negative regulation of cell killing,0.18131436045492633,2.7806403499343353,1
57,Phenotype,HP:0002321,Vertigo,0.18111913059061147,2.7768347030063643,1
58,Biological Process,GO:0043536,positive regulation of blood vessel endothelial cell migration,0.17956691366631872,2.7465770905749354,1
59,Biological Process,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,0.1791486811846814,2.7384244180086434,1
60,Disease,MONDO:0002082,endocrine gland neoplasm,0.17891646101618486,2.7338977131730218,1
61,Phenotype,HP:0010045,Aplasia/Hypoplasia of the 5th metacarpal,0.17872036377169132,2.730075158264686,1
62,Phenotype,HP:0010566,Hamartoma,0.1779508798485394,2.7150754852456886,1
63,Biological Process,GO:2000146,negative regulation of cell motility,0.17767810312214383,2.7097582049490883,1
64,Biological Process,GO:0032674,regulation of interleukin-5 production,0.17730461922409835,2.702477823670171,1
65,Biological Process,GO:0009611,response to wounding,0.17694906813528166,2.69554700950585,1
66,Phenotype,HP:0001069,Episodic hyperhidrosis,0.17600826718476448,2.6772078263089916,1
67,Phenotype,HP:0001342,Cerebral hemorrhage,0.1755735272729,2.6687333717686488,1
68,Biological Process,GO:1903578,regulation of ATP metabolic process,0.17483839387820255,2.6544032990874156,1
69,Biological Process,GO:0040013,negative regulation of locomotion,0.1746864070174482,2.651440594934792,1
70,Biological Process,GO:0043542,endothelial cell migration,0.1746811165830342,2.6513374676517514,1
71,Phenotype,HP:0001882,Leukopenia,0.17390182104119556,2.636146535182543,1
72,Biological Process,GO:0030949,positive regulation of vascular endothelial growth factor receptor signaling pathway,0.1736936693340796,2.632089000708922,1
73,Phenotype,HP:0000360,Tinnitus,0.17290099056137254,2.616637186782773,1
74,Phenotype,HP:0100749,Chest pain,0.17190742708957552,2.59726949533117,1
75,Biological Process,GO:0002040,sprouting angiogenesis,0.1716329102527805,2.591918294784616,1
76,Biological Process,GO:0002715,regulation of natural killer cell mediated immunity,0.1708089696904993,2.5758570898010427,1
76,Biological Process,GO:0042269,regulation of natural killer cell mediated cytotoxicity,0.1708089696904993,2.5758570898010427,1
78,Biological Process,GO:0043537,negative regulation of blood vessel endothelial cell migration,0.16999623194530644,2.56001426312033,1
79,Biological Process,GO:0006140,regulation of nucleotide metabolic process,0.16989248687056047,2.557991943807736,1
80,Biological Process,GO:0051222,positive regulation of protein transport,0.1694696281268171,2.5497490907752853,1
